$Ascii,:,02_97_DD_2X,Esstar,04/06/2018,,

Depth,DTCO3,DTSH3,DTSH6,ECGR,HAZI,HCAL,HDEVI,RHOZ,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RXOZ,TNPH
M,US/F,US/F,US/F,GAPI,Deg,IN,Deg,G/C3,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,OHMM,V/V
1137.2088,122.2666,181.9922,282.0569,59.9391,5.3463,12.563,0.6997,4.6288,0.0164,0.0127,0.0097,0.0065,0.0035,0.0034,0.0338,0.5381
1137.3612,121.4898,182.1034,279.3063,59.7947,5.3516,12.5556,0.6983,4.0289,0.0181,0.014,0.0108,0.0076,0.0045,0.0044,0.0322,0.5683
1137.5136,120.7908,182.0229,280.3584,68.0459,5.3569,12.5334,0.6969,3.1471,0.0167,0.0129,0.0099,0.0066,0.0036,0.0036,0.0305,0.5449
1137.666,120.2733,181.3991,273.2609,69.3878,5.3622,12.563,0.6956,2.2686,0.019,0.0144,0.0113,0.008,0.0049,0.0048,0.031,0.5942
1137.8184,119.4007,180.919,272.3423,73.6565,5.3676,12.5482,0.6942,2.5754,0.0189,0.0146,0.0117,0.0084,0.0053,0.0052,0.0305,0.5443
1137.9708,117.6844,182.6168,264.2168,69.7638,5.3729,12.5556,0.6928,3.4572,0.0168,0.0131,0.0103,0.0073,0.0047,0.0046,0.0305,0.5447
1138.1232,116.3722,181.4888,256.2281,65.6215,5.3783,12.5408,0.6914,4.3358,0.0157,0.0121,0.0094,0.0063,0.0037,0.0036,0.03,0.5542
1138.2756,115.6551,182.5656,251.8509,61.1859,5.3838,12.5482,0.6901,4.6288,0.0173,0.0134,0.0105,0.0073,0.0044,0.0043,0.0311,0.5852
1138.428,114.6075,182.1824,250.7688,60.8315,5.3892,12.5556,0.6887,4.6288,0.0178,0.0137,0.0107,0.0074,0.0044,0.0043,0.0329,0.5938
1138.5804,113.7822,181.6468,250.2725,61.7362,5.3947,12.563,0.6873,4.6288,0.0189,0.0145,0.0114,0.0081,0.005,0.0049,0.0329,0.6204
1138.7328,113.2456,182.2383,250.2865,59.0165,5.4002,12.5556,0.686,4.6288,0.02,0.0153,0.0121,0.0088,0.0057,0.0056,0.033,0.5831
1138.8852,112.6093,181.2805,250.7233,57.5702,5.4057,12.563,0.6846,4.3137,0.02,0.0151,0.012,0.0088,0.0058,0.0057,0.0358,0.5941
1139.0376,112.7707,182.8402,251.4243,57.6999,5.4112,12.563,0.6832,4.3118,0.0191,0.0148,0.0119,0.0089,0.0061,0.006,0.0485,0.5177
1139.19,112.9709,183.4655,252.9669,58.9756,5.4167,12.5519,0.6818,4.3118,0.0175,0.0136,0.0106,0.0074,0.0044,0.0043,0.0455,0.5768
1139.3424,113.1761,180.8577,255.227,57.46,5.4223,12.5556,0.6805,4.6269,0.0215,0.0167,0.0135,0.0102,0.0071,0.0069,0.0424,0.572
1139.4948,113.4779,181.6832,255.7845,56.9552,5.4279,12.563,0.6791,4.6288,0.0181,0.0141,0.0112,0.0082,0.0056,0.0054,0.0324,0.6082
1139.6472,114.2833,182.6598,256.3748,59.8094,5.4335,12.563,0.6777,4.6288,0.0181,0.0141,0.0112,0.0082,0.0054,0.0053,0.0318,0.592
1139.7996,115.0927,181.3552,258.8822,62.8729,5.4392,12.5482,0.6763,4.6288,0.017,0.0133,0.0108,0.0079,0.0055,0.0054,0.03,0.5982
1139.952,115.6906,182.0602,259.8795,64.1975,5.4448,12.5519,0.675,4.6288,0.0143,0.0113,0.0091,0.0065,0.0045,0.0044,0.0311,0.5697
1140.1044,116.638,181.6192,260.7426,62.7517,5.4505,12.5519,0.6736,4.6288,0.0166,0.0127,0.0102,0.0073,0.005,0.0049,0.0322,0.5432
1140.2568,119.1797,181.9667,261.1668,62.4398,5.4562,12.5704,0.6722,4.6288,0.0155,0.0122,0.0097,0.0069,0.0046,0.0045,0.0337,0.5361
1140.4092,120.4951,182.2784,264.2696,58.0234,5.462,12.5704,0.6708,4.6288,0.018,0.0141,0.0112,0.008,0.0053,0.0051,0.0325,0.5841
1140.5616,121.5585,182.6288,265.5356,56.5835,5.4677,12.563,0.6695,4.6288,0.0193,0.0148,0.0118,0.0086,0.0057,0.0056,0.0354,0.6474
1140.714,122.3399,182.9838,266.6168,51.7782,5.4735,12.563,0.6681,4.6288,0.0192,0.0149,0.0119,0.0088,0.006,0.0059,0.0337,0.6319
1140.8664,124.0882,182.8671,268.4943,51.4871,5.4793,12.563,0.6667,4.6288,0.0171,0.0133,0.0104,0.0072,0.0043,0.0042,0.0334,0.6169
1141.0188,123.7098,182.7504,269.4124,49.9525,5.4852,12.5556,0.6653,4.6288,0.02,0.0156,0.013,0.01,0.0076,0.0074,0.0421,0.5666
1141.1712,123.7879,183.0016,272.1425,52.1391,5.491,12.563,0.664,4.6145,0.0186,0.0144,0.012,0.0094,0.0073,0.0071,0.0421,0.5253
1141.3236,123.551,183.4805,272.4588,55.6441,5.4969,12.5556,0.6626,4.6039,0.015,0.0119,0.0097,0.0071,0.005,0.0049,0.0396,0.5309
1141.476,123.6031,183.0641,273.3405,56.2899,5.5028,12.563,0.6612,4.6011,0.0197,0.0154,0.0127,0.0099,0.0074,0.0073,0.03,0.5186
1141.6284,122.9698,182.445,274.857,61.5955,5.5087,12.5482,0.6598,4.6129,0.0182,0.0143,0.0117,0.0089,0.0066,0.0065,0.03,0.5512
1141.7808,123.0457,182.0004,274.6948,61.87,5.5147,12.5556,0.6585,4.6202,0.0187,0.0145,0.0118,0.0089,0.0066,0.0065,0.0342,0.5554
1141.9332,122.9755,182.8866,275.9002,66.0075,5.5206,12.5408,0.6571,4.623,0.0191,0.0149,0.0121,0.009,0.0063,0.0062,0.0342,0.5549
1142.0856,122.7719,183.3603,277.2061,64.8725,5.5266,12.5556,0.6557,4.6255,0.0169,0.0132,0.0107,0.0078,0.0055,0.0054,0.0352,0.5334
1142.238,122.5767,183.3755,274.8088,66.2342,5.5327,12.526,0.6544,4.6288,0.0203,0.0158,0.013,0.0099,0.0073,0.0072,0.0308,0.5089
1142.3904,122.3888,183.4618,271.8319,62.9601,5.5387,12.5186,0.653,4.6288,0.0213,0.0165,0.0133,0.01,0.0069,0.0067,0.0308,0.5326
1142.5428,122.4478,182.8235,270.7126,58.6706,5.5448,12.5112,0.6516,4.6288,0.0187,0.0145,0.0117,0.0087,0.006,0.0058,0.03,0.556
1142.6952,122.5382,183.2299,269.0949,55.633,5.5509,12.4891,0.6502,4.6288,0.0161,0.0129,0.0105,0.0076,0.0055,0.0054,0.0318,0.5569
1142.8476,122.702,183.2427,268.477,56.6206,5.557,12.3855,0.6489,4.6288,0.0197,0.0153,0.0125,0.0095,0.007,0.0069,0.0319,0.5639
1143,122.9064,183.0131,266.8027,61.169,5.5632,12.3855,0.6475,4.6288,0.0238,0.0184,0.0152,0.0117,0.0086,0.0084,0.0318,0.5879
1143.1524,122.9219,183.0459,270.1893,63.5228,5.5694,12.3744,0.6461,4.6288,0.021,0.0162,0.0133,0.0102,0.0074,0.0073,0.0317,0.5755
