datasetName,TWT,BVW_DUAL,CALI,DENS,DEPR,GAMM,LN_RHOV,NEUT,PHIT_D,RFC,RHOV,RUNSUM_DC,SONI,SSON,SSON_2,SWT_DUAL,SWT_DUAL_UNCL,TVD,VSH_GR
,ms,v/v,IN,G/C3,OHMM,GAPI,ampl,FRAC,v/v,ampl,g.m/cm3.s,ampl,US/F,US/F,US/F,v/v,v/v,FT,v/v
GQC_old,1268,-9999,-9999,-9999,-9999,103.3415,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3888.5,-9999
GQC_old,1269,-9999,-9999,-9999,-9999,108.0592,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3892,-9999
GQC_old,1270,-9999,-9999,-9999,-9999,110.3138,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3895,-9999
GQC_old,1271,-9999,-9999,-9999,-9999,106.1554,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3898.5,-9999
GQC_old,1272,-9999,-9999,-9999,-9999,104.0377,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3901.5,-9999
GQC_old,1273,-9999,-9999,-9999,-9999,110.1915,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3905,-9999
GQC_old,1274,-9999,-9999,-9999,-9999,110.6508,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3908,-9999
GQC_old,1275,-9999,-9999,-9999,-9999,103.5715,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3911.5,-9999
GQC_old,1276,-9999,-9999,-9999,-9999,102.6108,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3914.5,-9999
GQC_old,1277,-9999,-9999,-9999,-9999,103.5523,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3918,-9999
GQC_old,1278,-9999,-9999,-9999,-9999,107.4746,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3921.5,-9999
GQC_old,1279,-9999,-9999,-9999,-9999,109.9723,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3924.5,-9999
GQC_old,1280,-9999,-9999,-9999,-9999,105.4939,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3928,-9999
GQC_old,1281,-9999,-9999,-9999,-9999,107.5346,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3931,-9999
GQC_old,1282,-9999,-9999,-9999,-9999,116.3938,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3934.5,-9999
GQC_old,1283,-9999,-9999,-9999,-9999,111.0062,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3937.5,-9999
GQC_old,1284,-9999,-9999,-9999,-9999,104.9669,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3941,-9999
GQC_old,1285,-9999,-9999,-9999,-9999,111.1777,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3944.5,-9999
GQC_old,1286,-9999,-9999,-9999,-9999,111.0023,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3947.5,-9999
GQC_old,1287,-9999,-9999,-9999,-9999,108.3738,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3951,-9999
GQC_old,1288,-9999,-9999,-9999,-9999,108.5346,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3954,-9999
GQC_old,1289,-9999,-9999,-9999,-9999,110.1608,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3957.5,-9999
GQC_old,1290,-9999,-9999,-9999,-9999,110.7162,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3960.5,-9999
GQC_old,1291,-9999,-9999,-9999,-9999,112.0223,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3964,-9999
GQC_old,1292,-9999,-9999,-9999,-9999,111.8354,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3967.5,-9999
GQC_old,1293,-9999,-9999,-9999,-9999,117.9408,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3970.5,-9999
GQC_old,1294,-9999,-9999,-9999,-9999,117.9223,-9999,-9999,-9999,-9999,-9999,-9999,163,-9999,-9999,-9999,-9999,3974,-9999
